admin:osm:relation:1684917,Coppet
admin:osm:relation:1949374,Mons
admin:osm:relation:2759181,Glovelier
admin:osm:relation:271110,Amsterdam-Centraal
admin:osm:relation:62564,Aachen/Aix la Chapelle
admin:osm:relation:270514,NEUENBURG BADEN
admin:osm:relation:311922,Mullheim-Baden-Bf
admin:osm:relation:62407,Augsburg-Hbf
admin:osm:relation:62400,Frankfurt/M (Francfort)
admin:osm:relation:62652,Kaiserslautern-Hbf
admin:osm:relation:407896,Bettembourg
admin:osm:relation:407895,Dippach-Reckange
admin:osm:relation:1685590,Courgenay
admin:osm:relation:62713,Essen-Hbf
admin:osm:relation:1685594,Courtételle
admin:osm:relation:1685596,Delémont
admin:osm:relation:1685516,Zimeysa
admin:osm:relation:1685519,Neuchâtel
admin:osm:relation:44915,Milano-Porta-Garibaldi
admin:osm:relation:443890,Schiphol-Airport
admin:osm:relation:1255968,Konz-Mitte
admin:osm:relation:43992,Torino PS (Turin)
admin:osm:relation:2793104,Stuttgart
admin:osm:relation:1552703,Vercelli
admin:osm:relation:1685174,Vallorbe-Cff
admin:osm:relation:2210488,Ebbsfleet-International
admin:osm:relation:1920616,Mouscron / Moeskroen
admin:osm:relation:1685466,Chêne-Bourg
admin:osm:relation:2162970,Tournai
admin:osm:relation:1685588,Courchavon
admin:osm:relation:1685583,St Ursanne
admin:osm:relation:1685506,Le Locle-Col-des-Roches
admin:osm:relation:62495,Ulm-Hbf
admin:osm:relation:453002,Lahr
admin:osm:relation:1184400,Perl Gare DB
admin:osm:relation:1685502,Lancy-Pont-Rouge
admin:osm:relation:62391,Landau-Pfalz-Hbf
admin:osm:relation:407885,Bascharage-Sanem
admin:osm:relation:1685161,Tannay
admin:osm:relation:58248,Bruxelles-M./Brussel-Z.
admin:osm:relation:1685487,Genthod-Bellevue
admin:osm:relation:1405439,Namur
admin:osm:relation:904764,WOERTH RHEIN
admin:osm:relation:62428,München Hbf (Munich)
admin:osm:relation:1685488,Genève-Sécheron
admin:osm:relation:1685570,Courtemaiche
admin:osm:relation:1685574,Boncourt
admin:osm:relation:1682248,Zurich-Hb
admin:osm:relation:1685479,La Plaine
admin:osm:relation:1250483,Berg (Pfalz)
admin:osm:relation:1250484,Neuburg (Rhein)
admin:osm:relation:1250485,Hagenbach
admin:osm:relation:62768,Freiburg-Breisgau
admin:osm:relation:172679,Trier-Hbf (Trèves)
admin:osm:relation:1829065,Dortmund-Hbf
admin:osm:relation:1685450,Les Tuileries
admin:osm:relation:1685495,La Chaux-de-Fonds
admin:osm:relation:1685018,Lausanne
admin:osm:relation:62539,Dusseldorf-Flugh
admin:osm:relation:2220322,Monaco-Monte-Carlo
admin:osm:relation:62724,Neustadt (Weinstr) Hbf
admin:osm:relation:2068847,Ashford-International
admin:osm:relation:2113725,Charleroi Sud
admin:osm:relation:1682559,Moutier
admin:osm:relation:1250497,WINDEN PFALZ
admin:osm:relation:1685622,Porrentruy
admin:osm:relation:452979,Kork
admin:osm:relation:1683510,Grenchen Nrd
admin:osm:relation:44898,Novara
admin:osm:relation:59518,Anvers/Antwerpen C.
admin:osm:relation:44251,Bardonecchia-Stazione
admin:osm:relation:409806,Rotterdam-Centraal
admin:osm:relation:62456,Duisburg-Hbf
admin:osm:relation:1681788,Liège Guillemins
admin:osm:relation:43955,Oulx-Cesana-Clav-Sestri
admin:osm:relation:62518,Karlsruhe-Hbf
admin:osm:relation:407489,Luxembourg
admin:osm:relation:62691,Mannheim-Hbf
admin:osm:relation:345217,Port-Bou
admin:osm:relation:1685541,Versoix
admin:osm:relation:1685540,Vernier-Meyrin
admin:osm:relation:1683619,Bâle-St-Jean
admin:osm:relation:42680,Ventimiglia-Stazione
admin:osm:relation:1685048,Mies
admin:osm:relation:62340,Baden-Baden
admin:osm:relation:1187159,Saarbrücken /Sarrebruck
admin:osm:relation:1685536,Travers
admin:osm:relation:407475,Rodange
admin:osm:relation:1685531,Satigny
admin:osm:relation:1682380,Biel
admin:osm:relation:62578,Köln Hbf (Cologne)
admin:osm:relation:410953,Howald
admin:osm:relation:65606,London St P. / Londres
admin:osm:relation:452982,Appenweier
admin:osm:relation:452980,Legelshurst
admin:osm:relation:1685528,Russin
admin:osm:relation:1685524,Chambésy
admin:osm:relation:1124268,Emmendingen
admin:osm:relation:452988,Offenburg
admin:osm:relation:961284,Courtrai/Kortrijk
